CELLID,LAT,LON,MONTH,DAY,AEZID,PHIHOXsd2,CRFVOLsd2,SNDPPTsd2,CLYPPTsd2,SLTPPTsd2,CECsd2,NTOxd1,EACKCLsd2,DRAINFAO,BLDsd2,ORCDRCsd2,Country
4493,7.625,-7.875,2,6,10,53.64473037,19.19931159,48.73405999,26.95345025,24.30806425,16.35002459,2.500182756,2.110039993,4.989427963,1179.6,37.97197181,C“te d'Ivoire
4494,7.625,-7.625,2,6,9,53.77496518,17.42811502,47.81993938,28.80388302,23.38125666,15.5630376,2.309269271,1.68898722,4.999426559,1184.77,38.02064389,C“te d'Ivoire
4495,7.625,-7.375,2,6,9,55.21196231,23.75378943,47.50192544,26.77156903,25.72904547,16.81138878,2.308909462,1.76192167,4.920114707,1223.35,40.71274068,C“te d'Ivoire
4496,7.625,-7.125,2,11,9,54.88000657,17.20247866,51.51994419,25.83502955,22.6393631,9.221930401,1.539184504,1.419627691,4.774130007,1432.56,27.94468155,C“te d'Ivoire
4497,7.625,-6.875,2,14,9,55.48762092,21.03721922,56.11846204,23.11149369,20.77192982,8.32784063,1.342717659,1.222905464,4.886292835,1586.31,23.19421217,C“te d'Ivoire
4498,7.625,-6.625,2,17,9,56.46274896,18.55528235,57.97205147,21.18350955,20.84542251,8.805671666,1.150339643,0.829111898,4.790508975,1544.15,19.95164331,C“te d'Ivoire
4499,7.625,-6.375,2,23,9,57.09469883,14.29853931,59.5331528,20.73953717,19.73042836,9.282783522,1.131794271,0.606757084,4.725012309,1404.08,18.43394059,C“te d'Ivoire
4500,7.625,-6.125,2,23,9,57.542979,13.707021,60.30684055,20.38418635,19.31643701,8.760416667,1.125455051,0.566130687,4.520669291,1418.11,17.09752297,C“te d'Ivoire
4501,7.625,-5.875,2,23,9,57.49053356,14.67412507,61.03368576,19.3350545,19.62929268,7.920908122,1.097737233,0.432279527,4.932874355,1465.85,16.92090812,C“te d'Ivoire
4502,7.625,-5.625,2,23,9,59.87979694,15.10247806,63.03441748,17.58931337,19.38057133,9.995009465,1.130083891,0.143105165,4.372569265,1386.18,15.08475305,C“te d'Ivoire
4503,7.625,-5.375,2,18,9,58.97949475,14.76509186,65.65378937,17.13106955,17.21530512,7.259596457,1.020673882,0.221399692,4.897145669,1451.56,13.20324803,C“te d'Ivoire
4504,7.625,-5.125,2,17,9,59.05756106,14.45358112,62.69640655,19.30326453,18.00041115,7.356878546,1.037790146,0.071073107,4.905270948,1421.02,11.3184771,C“te d'Ivoire
4505,7.625,-4.875,2,17,9,59.22577472,14.75348418,64.35481226,18.04131825,17.60050828,7.98245614,1.07701623,0.106694933,4.820544352,1445.95,12.02787342,C“te d'Ivoire
4506,7.625,-4.625,2,18,9,60.17819105,13.38104211,66.00868425,17.09560872,16.88579387,9.036785188,1.090488119,0.019302572,4.415942979,1418.53,11.35490742,C“te d'Ivoire
4507,7.625,-4.375,2,16,9,57.88321587,14.32248812,66.07465989,16.26118669,17.66767743,8.321586625,1.209821503,0.498484455,4.453614162,1505.3,12.53835437,C“te d'Ivoire
4508,7.625,-4.125,2,13,9,57.33177608,19.8012458,63.24588149,16.0199164,20.73469388,7.912875994,1.536738301,1.665141298,4.887960003,1614.6,16.29809032,C“te d'Ivoire
4509,7.625,-3.875,2,10,9,58.77435477,18.637034,63.70823433,16.3093814,19.97525604,7.926423597,1.534831626,1.828239261,4.809258501,1594.19,15.73814011,C“te d'Ivoire
4510,7.625,-3.625,2,13,9,57.52344647,17.63633383,60.90588621,19.93048041,19.1627316,8.413100508,1.607083948,2.117421789,4.605017216,1592.35,16.55640269,C“te d'Ivoire
4511,7.625,-3.375,2,16,9,57.72794298,18.46358647,58.17850414,22.22831162,19.59834521,9.029409355,1.734761202,2.299887572,4.726058819,1591.06,17.72859835,C“te d'Ivoire
4512,7.625,-3.125,2,17,9,56.36699729,18.45962784,58.00655791,22.83736372,19.15771785,8.371423887,1.547831789,2.566316059,4.866054595,1567.94,15.25026642,C“te d'Ivoire
4513,7.625,-2.875,2,17,9,56.81005815,17.2859366,56.40150708,23.55704808,20.04398395,9.12630027,1.585196657,2.097600644,4.894585961,1538.05,16.36055369,Ghana
4514,7.625,-2.625,2,16,9,58.8838715,14.59760695,59.57310277,21.57547943,18.85199148,8.967546304,1.311638829,1.087630151,4.959514834,1409.27,15.12678249,Ghana
4515,7.625,-2.375,2,18,9,59.58392067,14.36379282,61.70324537,19.20258974,19.09277168,9.096787412,1.357439026,0.540837022,4.905097525,1467.49,16.49360761,Ghana
4516,7.625,-2.125,2,18,10,60.94140305,14.36207179,61.4359941,20.37034912,18.18398623,8.713243731,1.414805605,0.619049077,4.908867399,1421.65,14.35002459,Ghana
4517,7.625,-1.875,2,17,10,60.2636021,12.32177974,57.35029499,23.35340872,19.28965913,8.663470993,1.420882252,1.127658691,4.993690593,1349.87,13.40650606,Ghana
4518,7.625,-1.625,2,16,10,60.52462509,12.65787102,58.34991396,21.25272474,20.39498484,9.238793739,1.16296722,1.249381834,4.588052118,1356.17,12.13447513,Ghana
4519,7.625,-1.375,2,16,10,60.41881813,13.20481928,59.26424064,19.26137202,21.47774773,9.42226047,1.031789606,1.455855945,3.82124416,1363.85,11.34243095,Ghana
4520,7.625,-1.125,2,18,10,61.00819471,13.03310661,63.60870278,16.0280259,20.36359912,8.868147177,0.824230598,0.347686328,3.349668114,1392.27,9.124723429,Ghana
4521,7.625,-0.875,2,20,9,59.53637555,15.28117319,61.49401933,17.47640505,21.03301655,8.752334917,0.881989676,0.267999166,3.096673767,1398.85,10.28625266,Ghana
4522,7.625,-0.625,2,22,9,59.57977963,16.64622761,59.28042729,19.01623349,21.70905879,10.77828245,0.989029101,0.319570192,3.116494238,1358.86,12.09445706,Ghana
4523,7.625,-0.375,2,27,9,58.15602642,19.22078518,55.94707393,21.2439002,22.81067694,11.44707393,1.058073745,0.516574338,3.195101816,1352.82,14.1088791,Ghana
4524,7.625,-0.125,2,27,9,58.4844061,21.32156603,52.25733245,23.08321168,24.66781685,13.42733908,1.121696215,0.33253513,2.940676841,1313.5,15.44724618,Ghana
4525,7.625,0.125,3,1,9,58.30756844,22.40322061,49.76876006,24.48438003,25.75394525,16.33204509,1.409763929,0.731622876,2.927214171,1233.48,19.28148148,Ghana
4526,7.625,0.375,2,24,9,56.7792014,25.91741992,56.46107942,22.26037736,21.27898201,13.22983765,1.62871733,1.656507765,4.650285213,1328.28,22.92347521,Ghana
4527,7.625,0.625,2,23,9,54.63666913,20.14113597,53.31087616,25.71813786,20.96483895,11.81108106,1.815711006,2.268750676,4.991066306,1321.05,23.59216458,Togo
4528,7.625,0.875,2,22,9,55.1921154,18.59265634,48.14138185,29.59200066,22.26415868,12.8172281,1.966739854,3.66133227,4.997869027,1239.84,26.51684288,Togo
4529,7.625,1.125,2,22,9,59.61545402,18.53695349,58.91206628,20.16020015,20.9292921,11.03781478,1.339301122,1.541858134,4.491264047,1270.57,18.8298745,Togo
4530,7.625,1.375,2,24,9,61.45597792,14.82827384,64.30677468,15.97097837,19.72847859,9.958158996,0.889574645,0.272181953,3.687972937,1312.36,11.23475474,Togo
4531,7.625,1.625,2,25,9,62.46644818,14.11159361,66.68865219,15.13863171,18.1724703,9.518066366,0.840552478,0.130329954,3.905284719,1343.02,12.07054486,Togo
4532,7.625,1.875,2,25,9,63.02467213,15.73188525,61.19959016,17.47106557,21.33827869,9.753442623,0.890457704,0.093473473,3.236885246,1363.5,11.29614754,Benin
4533,7.625,2.125,2,25,9,63.19559161,15.17633563,67.4991806,13.93575877,18.56940347,9.134136349,0.804324893,0.093925396,3.575794821,1365.38,10.13020321,Benin
4534,7.625,2.375,2,25,9,64.32017041,17.02687203,71.91741766,11.85613633,16.2248894,8.506062592,0.788028592,0.087383112,3.944863182,1351.79,9.893003441,Benin
