LocationID,Country,Location,Region,Latitude,Longitude,ElevM,File1,File2,File3,File4
733,MOZAMBIQUE,MOZAMBIQUE,Eastern and Southern Africa,0,0,0,lat-0.125_long-0.125.txt,lat0.125_long-0.125.txt,lat-0.125_long0.125.txt,lat0.125_long0.125.txt
734,MOZAMBIQUE,MUTARARA,Eastern and Southern Africa,-17.45,35.067,42,lat-17.375_long35.125.txt,,,
735,MOZAMBIQUE,NAMIALO,Eastern and Southern Africa,-14.91,40,193,lat-14.875_long39.875.txt,lat-14.875_long40.125.txt,,
736,MOZAMBIQUE,NAMPULA,Eastern and Southern Africa,-15.1,39.28,428,lat-15.125_long39.375.txt,,,
737,MOZAMBIQUE,NHACOONGO,Eastern and Southern Africa,-24.49,34.75,107,lat-24.375_long34.625.txt,lat-24.375_long34.875.txt,,
740,MOZAMBIQUE,SEMOL,Eastern and Southern Africa,0,0,0,lat-0.125_long-0.125.txt,lat0.125_long-0.125.txt,lat-0.125_long0.125.txt,lat0.125_long0.125.txt
741,MOZAMBIQUE,SUSSUNDENGA,Eastern and Southern Africa,-19.33,33.22,642,lat-19.375_long33.125.txt,,,
742,MOZAMBIQUE,UMBELUZI,Eastern and Southern Africa,0,0,0,lat-0.125_long-0.125.txt,lat0.125_long-0.125.txt,lat-0.125_long0.125.txt,lat0.125_long0.125.txt
743,MOZAMBIQUE,USSUDENGA,Eastern and Southern Africa,0,0,0,lat-0.125_long-0.125.txt,lat0.125_long-0.125.txt,lat-0.125_long0.125.txt,lat0.125_long0.125.txt
752,NAMIBIA,MASHARE,Eastern and Southern Africa,0,0,0,lat-0.125_long-0.125.txt,lat0.125_long-0.125.txt,lat-0.125_long0.125.txt,lat0.125_long0.125.txt
753,NAMIBIA,MITKOMST RESEARCH STATION,Eastern and Southern Africa,0,0,0,lat-0.125_long-0.125.txt,lat0.125_long-0.125.txt,lat-0.125_long0.125.txt,lat0.125_long0.125.txt
754,NAMIBIA,RUNDA,Eastern and Southern Africa,-17.96,19.72,1107,lat-17.875_long19.625.txt,,,
864,SOUTH AFRICA,BARBERTON,Eastern and Southern Africa,-25.79,31.06,979,lat-25.875_long31.125.txt,,,
867,SOUTH AFRICA,FREIDENHEIM VALLEY,Eastern and Southern Africa,0,0,0,lat-0.125_long-0.125.txt,lat0.125_long-0.125.txt,lat-0.125_long0.125.txt,lat0.125_long0.125.txt
868,SOUTH AFRICA,FRIEDENHEIM VALLEY,Eastern and Southern Africa,0,0,0,lat-0.125_long-0.125.txt,lat0.125_long-0.125.txt,lat-0.125_long0.125.txt,lat0.125_long0.125.txt
870,SOUTH AFRICA,MPUMALANGA,Eastern and Southern Africa,0,0,0,lat-0.125_long-0.125.txt,lat0.125_long-0.125.txt,lat-0.125_long0.125.txt,lat0.125_long0.125.txt
871,SOUTH AFRICA,NELSPRUIT MPUMALANGA,Eastern and Southern Africa,-25.47,30.97,671,lat-25.375_long30.875.txt,,,
873,SOUTH AFRICA,PANNAR GRAYTOWN,Eastern and Southern Africa,-29.07,30.58,1124,lat-29.125_long30.625.txt,,,
874,SOUTH AFRICA,PETIT,Eastern and Southern Africa,0,0,0,lat-0.125_long-0.125.txt,lat0.125_long-0.125.txt,lat-0.125_long0.125.txt,lat0.125_long0.125.txt
875,SOUTH AFRICA,POTCHESFTROOM,Eastern and Southern Africa,-26.7,27.1,1341,lat-26.625_long27.125.txt,,,
876,SOUTH AFRICA,TSHIOMBO,Eastern and Southern Africa,0,0,0,lat-0.125_long-0.125.txt,lat0.125_long-0.125.txt,lat-0.125_long0.125.txt,lat0.125_long0.125.txt
877,SOUTH AFRICA,VILJOONSKROON,Eastern and Southern Africa,-27.2,26.9,1341,lat-27.125_long26.875.txt,,,
878,SOUTH AFRICA REP.,BETLEHEM,Eastern and Southern Africa,-28.25,28.33,1682,lat-28.375_long28.375.txt,lat-28.125_long28.375.txt,,
880,SOUTH AFRICA REP.,EZOLIMO,Eastern and Southern Africa,-25.2,31.2,583,lat-25.125_long31.125.txt,,,
881,SOUTH AFRICA REP.,FRIEDENHEI,Eastern and Southern Africa,-25.47,30.97,671,lat-25.375_long30.875.txt,,,
882,SOUTH AFRICA REP.,GREYTOWN,Eastern and Southern Africa,-29.02,30.6,1288,lat-29.125_long30.625.txt,,,
884,SOUTH AFRICA REP.,LWAMONGO,Eastern and Southern Africa,-23.03,30.33,958,lat-23.125_long30.375.txt,,,
885,SOUTH AFRICA REP.,NELSPRUIT,Eastern and Southern Africa,-25.47,30.97,671,lat-25.375_long30.875.txt,,,
886,SOUTH AFRICA REP.,POTCHEFSTROOM,Eastern and Southern Africa,-26.67,27.07,1382,lat-26.625_long27.125.txt,,,
887,SOUTH AFRICA REP.,SETLAGOLE,Eastern and Southern Africa,-26.28,25.12,1231,lat-26.375_long25.125.txt,,,
892,SWAZILAND,BIG-BEND,Eastern and Southern Africa,-26.82,31.93,115,lat-26.875_long31.875.txt,,,
893,SWAZILAND,LES,Eastern and Southern Africa,0,0,0,lat-0.125_long-0.125.txt,lat0.125_long-0.125.txt,lat-0.125_long0.125.txt,lat0.125_long0.125.txt
895,SWAZILAND,LUVE,Eastern and Southern Africa,-26.281,31.505,513,lat-26.375_long31.625.txt,,,
896,SWAZILAND,MALKERNS,Eastern and Southern Africa,-26.553,31.165,747,lat-26.625_long31.125.txt,,,
897,SWAZILAND,MANGCONGO,Eastern and Southern Africa,-26.57,30.85,1435,lat-26.625_long30.875.txt,,,
898,SWAZILAND,NHLANGANO,Eastern and Southern Africa,-27.11,31.216,1065,lat-27.125_long31.125.txt,,,
899,SWAZILAND,SHEWULA,Eastern and Southern Africa,0,0,0,lat-0.125_long-0.125.txt,lat0.125_long-0.125.txt,lat-0.125_long0.125.txt,lat0.125_long0.125.txt
900,SWAZILAND,SWAZILAND,Eastern and Southern Africa,0,0,0,lat-0.125_long-0.125.txt,lat0.125_long-0.125.txt,lat-0.125_long0.125.txt,lat0.125_long0.125.txt
904,TANZANIA,AFSF-ARUSHA,Eastern and Southern Africa,-3.3658,36.6745,1415,lat-3.375_long36.625.txt,,,
905,TANZANIA,ARUSHA,Eastern and Southern Africa,-3.18,36.7,1995,lat-3.125_long36.625.txt,,,
906,TANZANIA,ARUSHA SEED FARM AFSF,Eastern and Southern Africa,0,0,0,lat-0.125_long-0.125.txt,lat0.125_long-0.125.txt,lat-0.125_long0.125.txt,lat0.125_long0.125.txt
907,TANZANIA,ARUSHA TAN,Eastern and Southern Africa,-3.36,36.67,1415,lat-3.375_long36.625.txt,,,
908,TANZANIA,CHOLIMA,Eastern and Southern Africa,-7.43,37.7,151,lat-7.375_long37.625.txt,,,
909,TANZANIA,CHOLLIMA,Eastern and Southern Africa,-7.43,37.7,151,lat-7.375_long37.625.txt,,,
911,TANZANIA,DAKAWA,Eastern and Southern Africa,-7.43,37.7,151,lat-7.375_long37.625.txt,,,
912,TANZANIA,ILONGA,Eastern and Southern Africa,-6.77,37.03,554,lat-6.875_long37.125.txt,,,
913,TANZANIA,INYALA,Eastern and Southern Africa,-8.867,33.633,1582,lat-8.875_long33.625.txt,,,
914,TANZANIA,KATRIN,Eastern and Southern Africa,-8.133,36.683,262,lat-8.125_long36.625.txt,,,
915,TANZANIA,KATRIN1,Eastern and Southern Africa,-8.13,36.68,262,lat-8.125_long36.625.txt,,,
916,TANZANIA,KATRIN2,Eastern and Southern Africa,-8.13,36.68,262,lat-8.125_long36.625.txt,,,
917,TANZANIA,KATRIN-IFAKARA,Eastern and Southern Africa,-8.13,36.68,262,lat-8.125_long36.625.txt,,,
918,TANZANIA,LAMBO,Eastern and Southern Africa,-3.23,37.88,935,lat-3.125_long37.875.txt,,,
919,TANZANIA,MARUKU,Eastern and Southern Africa,-1.338,32.786,1133,lat-1.375_long32.875.txt,,,
920,TANZANIA,MBULUMBULU,Eastern and Southern Africa,-3.25,35.8,1645,lat-3.375_long35.875.txt,lat-3.125_long35.875.txt,,
921,TANZANIA,MLINGANO,Eastern and Southern Africa,-5.07,38.92,100,lat-5.125_long38.875.txt,,,
922,TANZANIA,MONDULI,Eastern and Southern Africa,-3.3,36.45,1504,lat-3.375_long36.375.txt,,,
923,TANZANIA,MOROGORO,Eastern and Southern Africa,-6.83,37.65,517,lat-6.875_long37.625.txt,,,
925,TANZANIA,NGARAMTONI,Eastern and Southern Africa,-3.36,36.67,1415,lat-3.375_long36.625.txt,,,
926,TANZANIA,NGARAMTONI-ARUSHA,Eastern and Southern Africa,-3.36,36.67,1415,lat-3.375_long36.625.txt,,,
928,TANZANIA,SELIAN,Eastern and Southern Africa,-3.22,36.37,1756,lat-3.125_long36.375.txt,,,
929,TANZANIA,TABORA,Eastern and Southern Africa,-5.02,32.8,1192,lat-5.125_long32.875.txt,,,
930,TANZANIA,TANZANIA,Eastern and Southern Africa,0,0,0,lat-0.125_long-0.125.txt,lat0.125_long-0.125.txt,lat-0.125_long0.125.txt,lat0.125_long0.125.txt
931,TANZANIA,TUMBI,Eastern and Southern Africa,-5.07,32.73,1162,lat-5.125_long32.625.txt,,,
932,TANZANIA,TUMBI-TABORA,Eastern and Southern Africa,-5.07,32.73,1162,lat-5.125_long32.625.txt,,,
933,TANZANIA,UKIRIGURU,Eastern and Southern Africa,-2.719,33.024,1220,lat-2.625_long33.125.txt,,,
935,TANZANIA,WERUWERU,Eastern and Southern Africa,-3.317,37.25,984,lat-3.375_long37.125.txt,lat-3.375_long37.375.txt,,
951,UGANDA,BULEGENI,Eastern and Southern Africa,0,0,0,lat-0.125_long-0.125.txt,lat0.125_long-0.125.txt,lat-0.125_long0.125.txt,lat0.125_long0.125.txt
952,UGANDA,BULENGENI,Eastern and Southern Africa,0,0,0,lat-0.125_long-0.125.txt,lat0.125_long-0.125.txt,lat-0.125_long0.125.txt,lat0.125_long0.125.txt
953,UGANDA,KAMAYANMIGGO,Eastern and Southern Africa,-0.25,31.25,1322,lat-0.375_long31.125.txt,lat-0.125_long31.125.txt,lat-0.375_long31.375.txt,lat-0.125_long31.375.txt
954,UGANDA,KAMENYAMIGGO,Eastern and Southern Africa,-0.25,31.25,1322,lat-0.375_long31.125.txt,lat-0.125_long31.125.txt,lat-0.375_long31.375.txt,lat-0.125_long31.375.txt
957,UGANDA,LIKONDESONGEA,Eastern and Southern Africa,-10.66,35.58,1026,lat-10.625_long35.625.txt,,,
959,UGANDA,MSK,Eastern and Southern Africa,0,0,0,lat-0.125_long-0.125.txt,lat0.125_long-0.125.txt,lat-0.125_long0.125.txt,lat0.125_long0.125.txt
960,UGANDA,NAARI,Eastern and Southern Africa,0.5333,34.1167,1161,lat0.625_long34.125.txt,,,
961,UGANDA,NAMULONGE,Eastern and Southern Africa,0.53,32.58,1192,lat0.625_long32.625.txt,,,
962,UGANDA,NAMULONGE UGA,Eastern and Southern Africa,0.53,32.58,1192,lat0.625_long32.625.txt,,,
963,UGANDA,SERERE,Eastern and Southern Africa,1.517,33.45,1106,lat1.625_long33.375.txt,,,
965,UGANDA,UGANDA,Eastern and Southern Africa,0,0,0,lat-0.125_long-0.125.txt,lat0.125_long-0.125.txt,lat-0.125_long0.125.txt,lat0.125_long0.125.txt
1020,ZAIRE,MVUAZI,Eastern and Southern Africa,-5.45,14.9,430,lat-5.375_long14.875.txt,,,
1021,ZAMBIA,CHISAMBA,Eastern and Southern Africa,0,0,0,lat-0.125_long-0.125.txt,lat0.125_long-0.125.txt,lat-0.125_long0.125.txt,lat0.125_long0.125.txt
1022,ZAMBIA,GOLDEN VALLEY,Eastern and Southern Africa,-14.17,28.37,1173,lat-14.125_long28.375.txt,,,
1023,ZAMBIA,KASAMA,Eastern and Southern Africa,-10.1,31.1,1352,lat-10.125_long31.125.txt,,,
1024,ZAMBIA,KASAMA MISANFU,Eastern and Southern Africa,-10.2,31.1,1377,lat-10.125_long31.125.txt,,,
1025,ZAMBIA,KATUBA,Eastern and Southern Africa,-15.17,28.23,1114,lat-15.125_long28.125.txt,,,
1026,ZAMBIA,KUTUMANI,Eastern and Southern Africa,0,0,0,lat-0.125_long-0.125.txt,lat0.125_long-0.125.txt,lat-0.125_long0.125.txt,lat0.125_long0.125.txt
1027,ZAMBIA,LYEMPE,Eastern and Southern Africa,0,0,0,lat-0.125_long-0.125.txt,lat0.125_long-0.125.txt,lat-0.125_long0.125.txt,lat0.125_long0.125.txt
1028,ZAMBIA,MAGOBO,Eastern and Southern Africa,0,0,0,lat-0.125_long-0.125.txt,lat0.125_long-0.125.txt,lat-0.125_long0.125.txt,lat0.125_long0.125.txt
1029,ZAMBIA,MAGOYE,Eastern and Southern Africa,-15.526,27.45,978,lat-15.625_long27.375.txt,,,
1030,ZAMBIA,MANSA,Eastern and Southern Africa,-11.12,28.53,1070,lat-11.125_long28.625.txt,,,
1031,ZAMBIA,MASUMBA,Eastern and Southern Africa,-13.16,31.58,605,lat-13.125_long31.625.txt,,,
1032,ZAMBIA,MISAMFU,Eastern and Southern Africa,-10.2,31.1,1377,lat-10.125_long31.125.txt,,,
1034,ZAMBIA,MOUNT MAKULU,Eastern and Southern Africa,-15.5,28.3,1299,lat-15.625_long28.375.txt,lat-15.375_long28.375.txt,,
1036,ZAMBIA,MSEKERA,Eastern and Southern Africa,-13.38,32.39,770,lat-13.375_long32.375.txt,,,
1037,ZAMBIA,NANGA,Eastern and Southern Africa,-15.767,27.92,978,lat-15.875_long27.875.txt,,,
1038,ZAMBIA,SESHEKE,Eastern and Southern Africa,-17.28,24.18,994,lat-17.375_long24.125.txt,,,
1039,ZAMBIA,ZAMBIA,Eastern and Southern Africa,0,0,0,lat-0.125_long-0.125.txt,lat0.125_long-0.125.txt,lat-0.125_long0.125.txt,lat0.125_long0.125.txt
1040,ZAMBIA,ZAMSEED,Eastern and Southern Africa,-14.2,28.4,1178,lat-14.125_long28.375.txt,,,
1041,ZAMBIA,ZAMSEED FARM,Eastern and Southern Africa,-14.2,28.4,1178,lat-14.125_long28.375.txt,,,
1042,ZIMBABWE,ARCTURUS,Eastern and Southern Africa,-17.783,31.317,1375,lat-17.875_long31.375.txt,,,
1043,ZIMBABWE,AREX HARARE,Eastern and Southern Africa,-17.8,31.1,1513,lat-17.875_long31.125.txt,,,
1044,ZIMBABWE,ART FARM HARARE,Eastern and Southern Africa,-17.8,31.05,1250,lat-17.875_long31.125.txt,,,
1045,ZIMBABWE,CHIREDZI,Eastern and Southern Africa,-21.02,31.58,427,lat-21.125_long31.625.txt,,,
