FID,LAT,LON
211,15.125,-6.625
212,15.125,-6.375
213,15.125,-6.125
214,15.125,-5.625
215,15.125,-5.375
216,15.125,-5.125
217,15.125,-4.875
218,15.125,-4.625
219,15.125,-4.375
220,15.125,-4.125
221,15.125,-3.875
222,15.125,-1.375
223,15.125,-1.125
224,15.125,-0.875
225,15.125,-0.625
226,15.125,-0.375
227,15.125,1.125
228,15.125,2.625
229,15.125,3.125
230,15.125,4.125
231,15.125,4.375
232,15.125,4.625
233,15.125,4.875
234,15.125,5.125
235,15.125,5.375
236,15.125,5.625
237,15.125,5.875
238,15.125,6.125
239,15.125,6.375
240,15.125,9.125
241,15.125,22.125
242,15.125,36.375
243,15.125,36.625
244,15.125,36.875
245,15.125,37.125
246,15.125,37.375
247,15.125,37.625
248,15.125,37.875
249,15.125,38.625
250,15.125,38.875
251,15.125,39.125
252,15.125,39.625
253,14.875,-17.125
254,14.875,-16.875
255,14.875,-16.625
256,14.875,-16.375
257,14.875,-16.125
258,14.875,-15.875
259,14.875,-15.625
260,14.875,-15.375
261,14.875,-14.625
262,14.875,-14.375
263,14.875,-12.875
264,14.875,-12.625
265,14.875,-12.375
266,14.875,-12.125
267,14.875,-11.875
268,14.875,-11.625
269,14.875,-11.375
270,14.875,-11.125
271,14.875,-10.875
272,14.875,-10.625
273,14.875,-10.375
274,14.875,-10.125
275,14.875,-9.875
276,14.875,-9.625
277,14.875,-9.375
278,14.875,-9.125
279,14.875,-8.875
280,14.875,-8.625
281,14.875,-8.375
282,14.875,-8.125
283,14.875,-7.875
284,14.875,-7.625
285,14.875,-7.375
286,14.875,-6.875
287,14.875,-6.625
288,14.875,-6.375
289,14.875,-6.125
290,14.875,-5.875
291,14.875,-5.625
292,14.875,-5.375
293,14.875,-4.875
294,14.875,-4.625
295,14.875,-4.375
296,14.875,-4.125
297,14.875,-3.875
298,14.875,-3.625
299,14.875,-3.375
300,14.875,-3.125
301,14.875,-2.875
302,14.875,-1.375
303,14.875,-0.375
304,14.875,-0.125
305,14.875,0.125
306,14.875,0.625
307,14.875,3.125
308,14.875,3.375
309,14.875,3.625
310,14.875,3.875
311,14.875,4.125
312,14.875,4.375
313,14.875,4.625
314,14.875,4.875
315,14.875,5.125
316,14.875,5.375
317,14.875,7.375
318,14.875,7.625
319,14.875,7.875
320,14.875,8.125
321,14.875,9.125
322,14.875,22.125
323,14.875,36.625
324,14.875,36.875
325,14.875,37.375
326,14.875,37.625
327,14.875,37.875
328,14.875,38.125
329,14.875,38.375
330,14.875,38.625
331,14.875,38.875
332,14.875,39.125
333,14.875,39.375
334,14.625,-17.375
335,14.625,-17.125
336,14.625,-16.875
337,14.625,-16.625
338,14.625,-16.375
339,14.625,-16.125
340,14.625,-15.875
341,14.625,-15.625
342,14.625,-15.375
343,14.625,-15.125
344,14.625,-14.875
345,14.625,-14.625
346,14.625,-14.375
347,14.625,-13.875
348,14.625,-13.375
349,14.625,-12.625
350,14.625,-12.375
351,14.625,-12.125
352,14.625,-11.875
353,14.625,-11.625
354,14.625,-11.375
355,14.625,-11.125
356,14.625,-10.875
357,14.625,-10.625
358,14.625,-10.375
359,14.625,-10.125
360,14.625,-9.875
361,14.625,-9.625
362,14.625,-9.375
363,14.625,-9.125
364,14.625,-8.875
365,14.625,-8.625
366,14.625,-8.375
367,14.625,-8.125
368,14.625,-7.875
369,14.625,-7.625
370,14.625,-7.375
371,14.625,-7.125
372,14.625,-6.875
373,14.625,-6.625
374,14.625,-6.375
375,14.625,-6.125
376,14.625,-5.875
377,14.625,-5.625
378,14.625,-5.375
379,14.625,-5.125
380,14.625,-4.875
381,14.625,-4.625
382,14.625,-4.375
383,14.625,-4.125
384,14.625,-3.875
385,14.625,-3.625
386,14.625,-3.375
387,14.625,-3.125
388,14.625,-2.125
389,14.625,-0.375
390,14.625,-0.125
391,14.625,0.125
392,14.625,0.375
393,14.625,0.625
394,14.625,0.875
395,14.625,1.875
396,14.625,2.125
397,14.625,2.625
398,14.625,3.375
399,14.625,3.875
400,14.625,4.125
401,14.625,4.375
402,14.625,4.625
403,14.625,7.875
404,14.625,8.125
405,14.625,8.875
406,14.625,9.125
407,14.625,21.125
408,14.625,21.375
409,14.625,21.625
410,14.625,21.875
411,14.625,22.125
412,14.625,22.375
413,14.625,22.625
414,14.625,36.625
415,14.625,36.875
416,14.625,37.875
417,14.625,38.125
418,14.625,38.375
419,14.625,38.625
420,14.625,38.875
421,14.625,39.125
422,14.625,39.375
423,14.625,39.625
424,14.625,40.125
425,14.375,-16.875
