FID,DOY,LAT,LON
92,181,16.375,-9.375
93,181,16.375,-9.375
94,181,16.375,-9.375
95,181,16.375,-9.125
96,181,16.375,-9.125
97,181,16.375,-9.125
98,181,16.375,-9.125
99,181,16.375,-9.125
100,181,16.375,-9.125
101,181,16.375,-9.125
102,182,16.125,-16.375
103,181,16.125,-16.375
104,190,16.125,-16.375
105,182,16.125,-16.375
106,180,16.125,-16.375
107,181,16.125,-16.375
108,171,16.125,-16.375
109,181,16.125,-16.375
110,180,16.125,-16.375
111,189,16.125,-16.125
112,189,16.125,-16.125
113,189,16.125,-16.125
114,181,16.125,-16.125
115,181,16.125,-16.125
116,181,16.125,-16.125
117,180,16.125,-16.125
118,180,16.125,-16.125
119,181,16.125,-16.125
120,191,16.125,-15.875
121,191,16.125,-15.875
122,191,16.125,-15.875
123,180,16.125,-15.875
124,180,16.125,-15.875
125,180,16.125,-15.875
126,181,16.125,-15.875
127,181,16.125,-15.875
128,181,16.125,-15.875
129,191,16.125,-15.625
130,191,16.125,-15.625
131,191,16.125,-15.625
132,189,16.125,-15.625
133,189,16.125,-15.625
134,192,16.125,-15.625
135,181,16.125,-15.625
136,181,16.125,-15.625
137,181,16.125,-15.625
138,191,16.125,-15.375
139,191,16.125,-15.375
140,191,16.125,-15.375
141,192,16.125,-15.375
142,183,16.125,-15.375
143,183,16.125,-15.375
144,181,16.125,-15.375
145,181,16.125,-15.375
146,181,16.125,-15.375
147,190,16.125,-14.125
148,190,16.125,-14.125
149,190,16.125,-14.125
150,190,16.125,-14.125
151,190,16.125,-14.125
152,190,16.125,-14.125
153,191,16.125,-14.125
154,191,16.125,-14.125
155,190,16.125,-13.875
156,190,16.125,-13.875
157,190,16.125,-13.875
158,190,16.125,-13.875
159,190,16.125,-13.875
160,190,16.125,-13.875
161,191,16.125,-13.875
162,191,16.125,-13.875
163,191,16.125,-13.875
164,190,16.125,-13.625
165,188,16.125,-13.625
166,186,16.125,-13.625
167,190,16.125,-13.625
168,190,16.125,-13.625
169,190,16.125,-13.625
170,179,16.125,-13.625
171,180,16.125,-13.625
172,180,16.125,-13.625
173,186,16.125,-13.375
174,190,16.125,-13.375
175,190,16.125,-13.375
176,191,16.125,-13.375
177,191,16.125,-13.375
178,180,16.125,-13.375
179,180,16.125,-13.375
180,180,16.125,-13.375
181,180,16.125,-13.375
182,190,16.125,-13.125
183,190,16.125,-13.125
184,190,16.125,-13.125
185,180,16.125,-13.125
186,180,16.125,-13.125
187,180,16.125,-13.125
188,180,16.125,-13.125
189,180,16.125,-13.125
190,180,16.125,-13.125
191,190,16.125,-12.875
192,190,16.125,-12.875
193,190,16.125,-12.875
194,180,16.125,-12.875
195,180,16.125,-12.875
196,186,16.125,-12.875
197,180,16.125,-12.875
198,180,16.125,-12.875
199,180,16.125,-12.875
200,190,16.125,-12.625
201,190,16.125,-12.625
202,190,16.125,-12.625
203,180,16.125,-12.625
204,179,16.125,-12.625
205,179,16.125,-12.625
206,178,16.125,-12.625
207,178,16.125,-12.625
208,178,16.125,-12.625
209,190,16.125,-12.375
210,188,16.125,-12.375
211,188,16.125,-12.375
212,179,16.125,-12.375
213,179,16.125,-12.375
