FID,FID_1,ObjectID,locationid,country,location,region,latitude,longitude,elevm,InStudy,y_1999,y_2000,y_2001,y_2002,y_2003,y_2004,y_2005,y_2006,y_2007,OBJECTID_1,Id,gridcode,Shape_Leng,Shape_Area
69,116,117,1057,ZIMBABWE,MATOPOS,Eastern and Southern Africa,-20.38,28.5,1380,master only (1),0,0,0,0,0,0,0,0,1,"1,642","1,642",12,25.70340714,7.244074981
70,117,118,1058,ZIMBABWE,MAZOWE,Eastern and Southern Africa,-17.51,30.91,1370,master only (1),0,1,1,0,0,0,0,0,0,"1,642","1,642",12,25.70340714,7.244074981
71,118,119,1063,ZIMBABWE,RATTRAY,Eastern and Southern Africa,-17.7,31.2,1403,master only (1),0,1,1,1,1,0,0,0,0,"1,642","1,642",12,25.70340714,7.244074981
72,119,120,1064,ZIMBABWE,RATTRAY ARNOLD,Eastern and Southern Africa,-17.67,31.17,1458,master only (1),0,0,0,1,1,0,1,1,1,"1,642","1,642",12,25.70340714,7.244074981
73,120,121,1065,ZIMBABWE,RATTRAY FARM,Eastern and Southern Africa,-17.7,31.2,1403,master only (1),0,0,0,1,1,0,0,0,0,"1,642","1,642",12,25.70340714,7.244074981
74,180,181,1049,ZIMBABWE,GLENDALE,Eastern and Southern Africa,-17.08,31.03,1284,0,0,0,0,0,0,0,0,0,0,"1,642","1,642",12,25.70340714,7.244074981
75,183,184,1066,ZIMBABWE,RUWA,Eastern and Southern Africa,-17.89,31.24,1554,0,0,0,0,0,0,0,0,0,0,"1,642","1,642",12,25.70340714,7.244074981
76,14,15,80,BOTSWANA,PELOTSHETLHA,Eastern and Southern Africa,-23.03,26.517,1111,master only (1),0,0,0,1,1,1,0,0,0,"1,681","1,681",11,3.660518589,0.315823419
77,15,16,81,BOTSWANA,SEBELE,Eastern and Southern Africa,-24.57,25.95,995,master only (1),0,0,1,1,1,1,1,0,0,"1,746","1,746",5,1.848390934,0.093241964
78,35,36,528,MALAWI,BVUMBWE,Eastern and Southern Africa,-15.92,35.07,1172,master only (1),0,1,1,1,1,1,1,1,1,"1,829","1,829",9,52.00564853,34.20209028
79,49,50,731,MOZAMBIQUE,MOCUBA,Eastern and Southern Africa,-16.84,38.26,66,master only (1),0,0,0,0,0,0,0,0,1,"1,829","1,829",9,52.00564853,34.20209028
80,50,51,736,MOZAMBIQUE,NAMPULA,Eastern and Southern Africa,-15.1,39.28,428,master only (1),0,0,1,1,1,1,1,1,1,"1,829","1,829",9,52.00564853,34.20209028
81,51,52,737,MOZAMBIQUE,NHACOONGO,Eastern and Southern Africa,-24.49,34.75,107,master only (1),0,0,0,0,0,0,0,1,1,"1,829","1,829",9,52.00564853,34.20209028
82,52,53,741,MOZAMBIQUE,SUSSUNDENGA,Eastern and Southern Africa,-19.33,33.22,642,master only (1),0,1,1,1,1,1,1,1,1,"1,829","1,829",9,52.00564853,34.20209028
83,136,137,732,MOZAMBIQUE,MORRUMBALA-ZAMBEZIA,Eastern and Southern Africa,-17.33,35.58,413,0,0,0,0,0,0,0,0,0,0,"1,829","1,829",9,52.00564853,34.20209028
84,138,139,734,MOZAMBIQUE,MUTARARA,Eastern and Southern Africa,-17.45,35.067,42,0,0,0,0,0,0,0,0,0,0,"1,829","1,829",9,52.00564853,34.20209028
85,139,140,735,MOZAMBIQUE,NAMIALO,Eastern and Southern Africa,-14.91,40,193,0,0,0,0,0,0,0,0,0,0,"1,829","1,829",9,52.00564853,34.20209028
86,126,127,82,BOTSWANA,SEBELE-LOWN,Eastern and Southern Africa,-24.6,26,979,0,0,0,0,0,0,0,0,0,0,"1,858","1,858",8,27.36452581,4.488903796
87,12,13,77,BOTSWANA,GOODHOPE,Eastern and Southern Africa,-25.48,25.47,1268,master only (1),1,1,1,1,1,1,0,0,0,"1,895","1,895",12,13.43066405,1.986303226
88,13,14,78,BOTSWANA,HUKUNTSI,Eastern and Southern Africa,-24,21.8,1140,master only (1),0,0,1,0,0,1,0,0,0,"1,946","1,946",7,71.34997231,48.95345964
89,53,54,864,SOUTH AFRICA,BARBERTON,Eastern and Southern Africa,-25.79,31.06,979,master only (1),0,0,0,0,1,1,0,0,0,"1,955","1,955",9,11.24110997,1.048682221
