ObjectID,locationid,addedbyus,country,location,region,latitude,longitude,elevm,InStudy,y_1999,y_2000,y_2001,y_2002,y_2003,y_2004,y_2005,y_2006,y_2007
106,1042,0,ZIMBABWE,ARCTURUS,Eastern and Southern Africa,-17.783,31.317,1375,1,1,0,0,0,1,1,0,0,0
107,1043,0,ZIMBABWE,AREX,,,,,1,,,,,,,,,
108,1044,0,ZIMBABWE,ART FARM,,,,,1,,,,,,,,,
109,1045,0,ZIMBABWE,CHIREDZI,Eastern and Southern Africa,-21.02,31.58,427,1,0,1,1,0,1,1,1,1,1
110,1048,0,ZIMBABWE,DRSS,,,,,1,,,,,,,,,
111,1050,0,ZIMBABWE,GWEBI,Eastern and Southern Africa,-17.7,30.85,1441,1,0,0,0,0,0,1,1,1,1
112,1051,0,ZIMBABWE,HARARE,Eastern and Southern Africa,-17.8,31.05,1498,1,1,1,1,1,1,1,1,1,1
113,1052,0,ZIMBABWE,KADOMA,Eastern and Southern Africa,-18.32,30.9,1325,1,0,1,1,0,1,1,1,1,0
114,1054,0,ZIMBABWE,MAKAHOLI,Eastern and Southern Africa,-19.83,30.78,1207,1,0,1,1,0,0,1,1,1,1
115,1055,0,ZIMBABWE,MAKHOHOLI,Eastern and Southern Africa,-19.83,30.78,1207,1,1,1,1,1,1,1,1,1,1
116,1056,0,ZIMBABWE,MARONDERA,Eastern and Southern Africa,-18.8,31.6,1084,1,0,0,0,1,1,1,0,0,0
117,1057,0,ZIMBABWE,MATOPOS,Eastern and Southern Africa,-20.38,28.5,1380,1,0,0,0,0,0,0,0,0,1
118,1058,0,ZIMBABWE,MAZOWE,Eastern and Southern Africa,-17.51,30.91,1370,1,0,1,1,0,0,0,0,0,0
119,1063,0,ZIMBABWE,RATTRAY,Eastern and Southern Africa,-17.7,31.2,1403,1,0,1,1,1,1,0,0,0,0
120,1064,0,ZIMBABWE,RATTRAY ARNOLD,Eastern and Southern Africa,-17.67,31.17,1458,1,0,0,0,1,1,0,1,1,1
121,1065,0,ZIMBABWE,RATTRAY FARM,Eastern and Southern Africa,-17.7,31.2,1403,1,0,0,0,1,1,0,0,0,0
122,1067,0,ZIMBABWE,SAVE VALLEY,Eastern and Southern Africa,-20.35,32.33,443,1,0,0,1,0,1,1,0,1,0
123,1068,0,ZIMBABWE,SHAMVA ZIM,Eastern and Southern Africa,-17.32,31.57,1106,1,0,0,0,0,0,1,1,0,0
124,5,0,ANGOLA,ANGOLA,Eastern and Southern Africa,0,0,0,0,,,,,,,,,
125,13,0,ANGOLA,KILOMBO EXPERIMENTAL STATION,Eastern and Southern Africa,-8.9,14.7,514,0,,,,,,,,,
126,79,0,BOTSWANA,PANDAMATENGA,Eastern and Southern Africa,-18.55,25.65,1071,0,,,,,,,,,
127,82,0,BOTSWANA,SEBELE-LOWN,Eastern and Southern Africa,-24.6,26,979,0,,,,,,,,,
128,210,0,CONGO,TSHIBATI,Eastern and Southern Africa,0,0,0,0,,,,,,,,,
129,278,0,ERITREA,HALHALE,Eastern and Southern Africa,15,39,1837,0,,,,,,,,,
130,279,0,ERITREA,SHAMBIKO,Eastern and Southern Africa,14.92,37.83,906,0,,,,,,,,,
131,299,0,ETHIOPIA,NULL,Eastern and Southern Africa,0,0,0,0,,,,,,,,,
132,521,0,LESOTHO,TEYATEYANENG,Eastern and Southern Africa,-29.15,27.75,1688,0,,,,,,,,,
133,525,0,MALAWI,BAKA RESEARCH STATION,Eastern and Southern Africa,0,0,0,0,,,,,,,,,
134,535,0,MALAWI,MPHIMBI,Eastern and Southern Africa,0,0,0,0,,,,,,,,,
135,537,0,MALAWI,NOT IDENTIFIED,Eastern and Southern Africa,0,0,0,0,,,,,,,,,
136,540,0,MALAWI,ZOMBA,Eastern and Southern Africa,-15.38,35.33,937,0,,,,,,,,,
137,732,0,MOZAMBIQUE,MORRUMBALA-ZAMBEZIA,Eastern and Southern Africa,-17.33,35.58,413,0,,,,,,,,,
138,733,0,MOZAMBIQUE,MOZAMBIQUE,Eastern and Southern Africa,0,0,0,0,,,,,,,,,
139,734,0,MOZAMBIQUE,MUTARARA,Eastern and Southern Africa,-17.45,35.067,42,0,,,,,,,,,
140,735,0,MOZAMBIQUE,NAMIALO,Eastern and Southern Africa,-14.91,40,193,0,,,,,,,,,
141,740,0,MOZAMBIQUE,SEMOL,Eastern and Southern Africa,0,0,0,0,,,,,,,,,
142,742,0,MOZAMBIQUE,UMBELUZI,Eastern and Southern Africa,0,0,0,0,,,,,,,,,
143,743,0,MOZAMBIQUE,USSUDENGA,Eastern and Southern Africa,0,0,0,0,,,,,,,,,
144,752,0,NAMIBIA,MASHARE,Eastern and Southern Africa,0,0,0,0,,,,,,,,,
145,753,0,NAMIBIA,MITKOMST RESEARCH STATION,Eastern and Southern Africa,0,0,0,0,,,,,,,,,
146,754,0,NAMIBIA,RUNDA,Eastern and Southern Africa,-17.96,19.72,1107,0,,,,,,,,,
147,867,0,SOUTH AFRICA,FREIDENHEIM VALLEY,Eastern and Southern Africa,0,0,0,0,,,,,,,,,
148,868,0,SOUTH AFRICA,FRIEDENHEIM VALLEY,Eastern and Southern Africa,0,0,0,0,,,,,,,,,
149,870,0,SOUTH AFRICA,MPUMALANGA,Eastern and Southern Africa,0,0,0,0,,,,,,,,,
150,871,0,SOUTH AFRICA,NELSPRUIT MPUMALANGA,Eastern and Southern Africa,-25.47,30.97,671,0,,,,,,,,,
151,873,0,SOUTH AFRICA,PANNAR,,,,,,,,,,,,,,
152,874,0,SOUTH AFRICA,PETIT,Eastern and Southern Africa,0,0,0,0,,,,,,,,,
153,876,0,SOUTH AFRICA,TSHIOMBO,Eastern and Southern Africa,0,0,0,0,,,,,,,,,
154,892,0,SWAZILAND,BIG-BEND,Eastern and Southern Africa,-26.82,31.93,115,0,,,,,,,,,
155,893,0,SWAZILAND,LES,Eastern and Southern Africa,0,0,0,0,,,,,,,,,
156,895,0,SWAZILAND,LUVE,Eastern and Southern Africa,-26.281,31.505,513,0,,,,,,,,,
157,899,0,SWAZILAND,SHEWULA,Eastern and Southern Africa,0,0,0,0,,,,,,,,,
158,900,0,SWAZILAND,SWAZILAND,Eastern and Southern Africa,0,0,0,0,,,,,,,,,
159,906,0,TANZANIA,ARUSHA SEED FARM AFSF,Eastern and Southern Africa,0,0,0,0,,,,,,,,,
160,909,0,TANZANIA,CHOLLIMA,Eastern and Southern Africa,-7.43,37.7,151,0,,,,,,,,,
161,917,0,TANZANIA,KATRIN-IFAKARA,Eastern and Southern Africa,-8.13,36.68,262,0,,,,,,,,,
162,923,0,TANZANIA,MOROGORO,Eastern and Southern Africa,-6.83,37.65,517,0,,,,,,,,,
163,925,0,TANZANIA,NGARAMTONI,Eastern and Southern Africa,-3.36,36.67,1415,0,,,,,,,,,
164,926,0,TANZANIA,NGARAMTONI-ARUSHA,Eastern and Southern Africa,-3.36,36.67,1415,0,,,,,,,,,
165,930,0,TANZANIA,TANZANIA,Eastern and Southern Africa,0,0,0,0,,,,,,,,,
