"","LocationID","Country","Location","Region","Latitude","Longitude","ElevM","bulk_density","carbon_organic","cation_exchange_capacity","clay_content","nitrogen_total","ph","sand_content","silt_content"
"61",728,"MOZAMBIQUE","LICHINGA","Eastern and Southern Africa",-13.3,35.23,1289,1.26,11.1824939607035,10.0231763806416,28,1210.96707449258,5.6,53,12
"62",729,"MOZAMBIQUE","MAPUPULO","Eastern and Southern Africa",-13.24,38.87,513,1.43,7.16616991256765,8.97418245481472,17,402.428793492735,5.9,71,9
"63",731,"MOZAMBIQUE","MOCUBA","Eastern and Southern Africa",-16.84,38.26,66,1.39,7.16616991256765,8.97418245481472,20,1095.63315842846,6,62,13
"64",732,"MOZAMBIQUE","MORRUMBALA-ZAMBEZIA","Eastern and Southern Africa",-17.33,35.58,413,1.41,7.16616991256765,7.16616991256765,17,180.272241875151,6,68,11
"66",734,"MOZAMBIQUE","MUTARARA","Eastern and Southern Africa",-17.45,35.067,42,1.29,10.0231763806416,13.8797317248728,29,2207.34799188721,6.4,48,18
"67",735,"MOZAMBIQUE","NAMIALO","Eastern and Southern Africa",-14.91,40,193,1.39,8.02501349943412,10.0231763806416,22,199.336809974792,6.2,59,15
"68",736,"MOZAMBIQUE","NAMPULA","Eastern and Southern Africa",-15.1,39.28,428,1.4,5.68589444227927,8.02501349943412,19,163.021907299902,6.1,71,10
"69",737,"MOZAMBIQUE","NHACOONGO","Eastern and Southern Africa",-24.49,34.75,107,1.35,10.0231763806416,7.16616991256765,19,1210.96707449258,5.5,66,8
"71",741,"MOZAMBIQUE","SUSSUNDENGA","Eastern and Southern Africa",-19.33,33.22,642,1.34,11.1824939607035,13.8797317248728,23,2439.6019776245,5.8,61,10
"76",754,"NAMIBIA","RUNDA","Eastern and Southern Africa",-17.96,19.72,1107,1.51,3.95303242439511,4.4739473917272,9,26.1126389206579,7,79,9
"77",864,"SOUTH AFRICA","BARBERTON","Eastern and Southern Africa",-25.79,31.06,979,1.27,12.4637380350017,6.38905609893065,33,1997.19589510412,5.8,44,16
"81",871,"SOUTH AFRICA","NELSPRUIT MPUMALANGA","Eastern and Southern Africa",-25.47,30.97,671,1.4,8.97418245481472,7.16616991256765,24,600.845037872082,7.3,49,24
"82",873,"SOUTH AFRICA","PANNAR GRAYTOWN","Eastern and Southern Africa",-29.07,30.58,1124,1.26,15.444646771097,8.02501349943412,37,3293.46807528384,5.5,42,18
"84",875,"SOUTH AFRICA","POTCHESFTROOM","Eastern and Southern Africa",-26.7,27.1,1341,1.42,8.02501349943412,8.97418245481472,24,991.274715605026,6.4,55,16
"86",877,"SOUTH AFRICA","VILJOONSKROON","Eastern and Southern Africa",-27.2,26.9,1341,1.48,5.04964746441295,6.38905609893065,23,220.406416204187,6.2,66,12
"87",878,"SOUTH AFRICA REP.","BETLEHEM","Eastern and Southern Africa",-28.25,28.33,1682,1.4,8.97418245481472,6.38905609893065,27,664.141633044362,6,57,18
"88",880,"SOUTH AFRICA REP.","EZOLIMO","Eastern and Southern Africa",-25.2,31.2,583,1.4,7.16616991256765,6.38905609893065,18,163.021907299902,6.1,65,14
"89",881,"SOUTH AFRICA REP.","FRIEDENHEI","Eastern and Southern Africa",-25.47,30.97,671,1.4,8.97418245481472,7.16616991256765,24,600.845037872082,7.3,49,24
"90",882,"SOUTH AFRICA REP.","GREYTOWN","Eastern and Southern Africa",-29.02,30.6,1288,1.11,23.5325301971094,5.04964746441295,35,49019.8011363817,5.1,43,20
"91",884,"SOUTH AFRICA REP.","LWAMONGO","Eastern and Southern Africa",-23.03,30.33,958,1.17,13.8797317248728,8.02501349943412,33,9896.12905874391,5.3,48,19
"92",885,"SOUTH AFRICA REP.","NELSPRUIT","Eastern and Southern Africa",-25.47,30.97,671,1.4,8.97418245481472,7.16616991256765,24,600.845037872082,7.3,49,24
"93",886,"SOUTH AFRICA REP.","POTCHEFSTROOM","Eastern and Southern Africa",-26.67,27.07,1382,1.47,7.16616991256765,8.97418245481472,27,543.571910125929,6.3,58,11
"94",887,"SOUTH AFRICA REP.","SETLAGOLE","Eastern and Southern Africa",-26.28,25.12,1231,1.57,3.48168907033806,5.68589444227927,13,35.598234443678,6.4,78,10
