cellid,robust_vcr_10,robust_vcr_20,robust_vcr_30,robust_vcr_40,robust_vcr_50,robust_vcr_60,robust_vcr_70,robust_vcr_80,robust_vcr_90,robust_profitable_10,robust_profitable_20,robust_profitable_30,robust_profitable_40,robust_profitable_50,robust_profitable_60,robust_profitable_70,robust_profitable_80,robust_profitable_90,naive_vcr_10,naive_vcr_20,naive_vcr_30,naive_vcr_40,naive_vcr_50,naive_vcr_60,naive_vcr_70,naive_vcr_80,naive_vcr_90,naive_profitable_10,naive_profitable_20,naive_profitable_30,naive_profitable_40,naive_profitable_50,naive_profitable_60,naive_profitable_70,naive_profitable_80,naive_profitable_90,class_nono_10,class_yesyes_10,class_type1_10,class_type2_10,class_nono_20,class_yesyes_20,class_type1_20,class_type2_20,class_nono_30,class_yesyes_30,class_type1_30,class_type2_30,class_nono_40,class_yesyes_40,class_type1_40,class_type2_40,class_nono_50,class_yesyes_50,class_type1_50,class_type2_50,class_nono_60,class_yesyes_60,class_type1_60,class_type2_60,class_nono_70,class_yesyes_70,class_type1_70,class_type2_70,class_nono_80,class_yesyes_80,class_type1_80,class_type2_80,class_nono_90,class_yesyes_90,class_type1_90,class_type2_90,lat,lon,f_to_m_prratio_robust,prneeded_robust,prneeded_val_robust,f_to_m_prratio_naive,prneeded_naive,prneeded_val_naive
14097,2.532777,3.510165,4.207403,4.509078,4.976237,5.399925,5.665915,6.324102,6.8862,1,1,1,1,1,1,1,1,1,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,-18.125,26.625,8.606525,Profitable if F to M below 10,3,-0.1860464,Profitable at no price,1
14098,4.297892,4.903188,5.318569,5.978279,6.385963,6.699965,7.133485,7.715763,8.250713,1,1,1,1,1,1,1,1,1,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,-18.125,26.875,10.86416,Profitable even if F to M above 10,4,-0.1860464,Profitable at no price,1
14099,5.408082,6.308019,6.705197,6.998487,7.353399,7.698299,8.172956,8.806967,9.289609,1,1,1,1,1,1,1,1,1,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,-18.125,27.125,13.70275,Profitable even if F to M above 10,4,-0.1860464,Profitable at no price,1
14100,5.318654,6.208058,6.863987,7.580473,8.039541,8.450232,8.981583,9.410049,9.730848,1,1,1,1,1,1,1,1,1,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,-18.125,27.375,14.04477,Profitable even if F to M above 10,4,-0.1860464,Profitable at no price,1
14101,5.958952,6.533669,6.958939,7.237796,7.615725,8.115074,8.548017,9.265015,9.993245,1,1,1,1,1,1,1,1,1,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,-18.125,27.625,14.19859,Profitable even if F to M above 10,4,-0.1860464,Profitable at no price,1
14102,6.30367,7.234405,7.574145,7.856653,8.102132,8.596731,9.169347,9.635068,10.48027,1,1,1,1,1,1,1,1,1,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,-18.125,27.875,15.45518,Profitable even if F to M above 10,4,-0.1860464,Profitable at no price,1
14103,6.524724,7.323109,7.710773,7.924184,8.263106,8.742952,9.002623,9.331842,9.838232,1,1,1,1,1,1,1,1,1,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,-18.125,28.125,15.76013,Profitable even if F to M above 10,4,-0.1860464,Profitable at no price,1
14104,5.944856,6.5057,7.052421,7.346258,7.71345,7.955669,8.469851,9.105827,9.466982,1,1,1,1,1,1,1,1,1,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,-18.125,28.375,14.36789,Profitable even if F to M above 10,4,-0.1860464,Profitable at no price,1
14105,5.963538,6.486457,6.72925,7.068289,7.518515,7.911206,8.327559,8.54017,9.126454,1,1,1,1,1,1,1,1,1,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,-18.125,28.625,13.76908,Profitable even if F to M above 10,4,-0.1860464,Profitable at no price,1
14106,4.280551,5.25678,5.596197,6.071577,6.358277,6.71805,7.091464,7.552395,8.144225,1,1,1,1,1,1,1,1,1,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,-18.125,28.875,11.36743,Profitable even if F to M above 10,4,-0.1860464,Profitable at no price,1
14107,5.907295,6.446311,6.95532,7.178984,7.447962,7.9424,8.39438,9.052467,9.4853,1,1,1,1,1,1,1,1,1,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,-18.125,29.125,14.23166,Profitable even if F to M above 10,4,-0.1860464,Profitable at no price,1
14108,5.959799,6.456201,6.876096,7.266365,7.682424,7.985086,8.379929,8.888938,9.642701,1,1,1,1,1,1,1,1,1,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,-18.125,29.375,14.04755,Profitable even if F to M above 10,4,-0.1860464,Profitable at no price,1
14109,4.147599,4.511073,4.92852,5.342887,6.00459,6.34276,6.724661,7.153881,7.813096,1,1,1,1,1,1,1,1,1,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,-18.125,29.625,10.08451,Profitable even if F to M above 10,4,-0.1860464,Profitable at no price,1
14110,3.210168,3.609159,4.212379,4.443369,4.932924,5.312718,5.995453,6.643787,7.276285,1,1,1,1,1,1,1,1,1,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,-18.125,29.875,8.556261,Profitable if F to M below 10,3,-0.1860464,Profitable at no price,1
14111,4.956018,5.313171,5.678367,6.060665,6.496829,6.739846,7.04607,7.595469,8.33605,1,1,1,1,1,1,1,1,1,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,-0.1398845,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,-18.125,30.125,11.61881,Profitable even if F to M above 10,4,-0.1860464,Profitable at no price,1
14112,3.435103,4.008762,4.392789,4.716462,5.088413,5.430242,5.894942,6.291746,7.435548,1,1,1,1,1,1,1,1,1,13.68942,13.68942,13.68942,13.68942,13.68942,13.68942,13.68942,13.68942,13.68942,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,-18.125,30.375,8.988321,Profitable if F to M below 10,3,18.20692,Profitable even if F to M above 10,4
14113,3.840149,4.198413,4.874378,5.2232,5.630764,6.032512,6.261684,6.805941,7.091679,1,1,1,1,1,1,1,1,1,13.68942,13.68942,13.68942,13.68942,13.68942,13.68942,13.68942,13.68942,13.68942,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,-18.125,30.625,9.958902,Profitable if F to M below 10,3,18.20692,Profitable even if F to M above 10,4
14114,3.839213,4.38683,4.981493,5.35235,5.668961,6.110406,6.647516,7.041873,7.414507,1,1,1,1,1,1,1,1,1,13.68942,13.68942,13.68942,13.68942,13.68942,13.68942,13.68942,13.68942,13.68942,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,-18.125,30.875,10.1929,Profitable even if F to M above 10,4,18.20692,Profitable even if F to M above 10,4
