cellid,y_pred_sim_dif_probT_cfrobust,irr_sim_probT_cfrobust,cr_sim_probT_cfrobust,crnrt_sim_probT_cfrobust,irr_sim_gtP_cfrobust,irrnrt_sim_gtP_cfrobust,y_pred_sim_dif_probT_naive,irr_sim_probT_naive,cr_sim_probT_naive,crnrt_sim_probT_naive,irr_sim_gtP_naive,irrnrt_sim_gtP_naive,lat,lon,class_nono_probT,classnrt_nono_probT,class_yesyes_probT,classnrt_yesyes_probT,class_type1_probT,classnrt_type1_probT,class_type2_probT,classnrt_type2_probT
"13229",".6888967752",".0830484033","3.78514719","nan",".5789999962","nan",".4780912399","-.248675555","1.707468748","2.626874924","0","0","-16.375","17.125","1","1","0","0","0","0","0","0"
"1323",".6298863888",".6041510105","3.460914373","nan",".7919999957","nan","1.766548634","3.501253128","6.309102058","9.706311226","1","1","12.625","20.125","0","0","1","1","0","0","0","0"
"13230",".7209942341",".1306772083","3.961506844","nan",".6069999933","nan",".4780912399","-.2488576025","1.707468748","2.626874924","0","0","-16.375","17.375","1","1","0","0","0","0","0","0"
"13231",".6505547166",".0241211839","3.57447648","nan",".57099998","nan",".4780912399","-.2493420541","1.707468748","2.626874924","0","0","-16.375","17.625","1","1","0","0","0","0","0","0"
"13232",".6787176132",".0616871566","3.729217529","nan",".5849999785","nan",".4780912399","-.250199616","1.707468748","2.626874924","0","0","-16.375","17.875","1","1","0","0","0","0","0","0"
"13233",".7048535943",".0994549394","3.872821808","nan",".6230000257","nan",".4780912399","-.2514619529","1.707468748","2.626874924","0","0","-16.375","18.125","1","1","0","0","0","0","0","0"
"13234",".8435666561",".3787497282","4.634981155","nan",".7360000014","nan",".4780912399","-.2210413814","1.707468748","2.626874924","0","0","-16.375","18.375","0","0","0","0","1","1","0","0"
"13235",".6977746487",".1343367547","3.833926439","nan",".6079999804","nan",".4780912399","-.2232745439","1.707468748","2.626874924","0","0","-16.375","18.625","1","1","0","0","0","0","0","0"
"13236",".8910018206",".438329041","4.895614147","nan",".7720000148","nan",".4780912399","-.2259541899","1.707468748","2.626874924","0","0","-16.375","18.875","0","0","0","0","1","1","0","0"
"13237","1.166640997",".8794544935","6.410115719","nan",".8759999871","nan",".4780912399","-.2290776074","1.707468748","2.626874924","0","0","-16.375","19.125","0","0","0","0","1","1","0","0"
"13238",".9282674789",".4896292686","5.100370884","nan",".7760000229","nan","1.103052735",".7704493999","3.939474106","6.060729504","0","1","-16.375","19.375","0","0","0","1","1","0","0","0"
"13239",".8269085288",".3241658807","4.543453217","nan",".7080000043","nan","1.103052735",".7612156272","3.939474106","6.060729504","0","1","-16.375","19.625","0","0","0","1","1","0","0","0"
"1324",".6454931498",".6301494837","3.546665668","nan",".8280000091","nan","1.766548634","3.463200331","6.309102058","9.706311226","1","1","12.625","20.375","0","0","1","1","0","0","0","0"
"13240",".7479826808",".1836164296","4.109794617","nan",".6529999971","nan","1.103052735",".7509780526","3.939474106","6.060729504","0","1","-16.375","19.875","1","0","0","0","0","0","0","1"
"13241",".7909551859",".24766168","4.345907688","nan",".67900002","nan",".4780912399","-.245950684","1.707468748","2.626874924","0","0","-16.375","20.125","1","1","0","0","0","0","0","0"
"13242","1.039088607",".6340602636","5.709278107","nan",".8259999752","nan",".4780912399","-.2512474358","1.707468748","2.626874924","0","0","-16.375","20.375","0","0","0","0","1","1","0","0"
"13243","1.02040875",".5868247151","5.606641769","nan",".7960000038","nan",".4780912399","-.2569312751","1.707468748","2.626874924","0","0","-16.375","20.625","0","0","0","0","1","1","0","0"
"13244","1.002329826",".5443757772","5.507306576","nan",".7760000229","nan",".4780912399","-.2629191577","1.707468748","2.626874924","0","0","-16.375","20.875","0","0","0","0","1","1","0","0"
"13245","1.008781195",".5414202213","5.54275322","nan",".7910000086","nan",".4780912399","-.2691873312","1.707468748","2.626874924","0","0","-16.375","21.125","0","0","0","0","1","1","0","0"
"13246",".9952405691",".5040206909","5.468354702","nan",".7789999843","nan",".4780912399","-.2757380009","1.707468748","2.626874924","0","0","-16.375","21.375","0","0","0","0","1","1","0","0"
"13247",".9612718821",".160805434","5.281713963","nan",".6389999986","nan",".4780912399","-.4225916564","1.707468748","2.626874924","0","0","-16.375","21.625","1","1","0","0","0","0","0","0"
"13248","1.013580561",".2372269481","5.569124222","nan",".6639999747","nan",".4780912399","-.4156824648","1.707468748","2.626874924","0","0","-16.375","21.875","1","1","0","0","0","0","0","0"
"13249",".9607051611",".1586762071","5.278599739","nan",".6340000033","nan","2.802713633","2.388210535","10.00969124","15.39952564","1","1","-16.375","22.125","0","0","0","0","0","0","1","1"
"1325",".6643503904",".6456210613","3.650277138","nan",".8389999866","nan","1.766548634","3.378272533","6.309102058","9.706311226","1","1","12.625","20.625","0","0","1","1","0","0","0","0"
