cellid,y_pred_sim_dif_probT_naive,vcr_sim_probT_naive,cr_sim_probT_naive,vcr_sim_gtP_naive,y_pred_sim_dif_probT_robust,vcr_sim_probT_robust,cr_sim_probT_robust,vcr_sim_gtP_robust,lat,lon,class_nono_probT,class_yesyes_probT,class_type1_probT,class_type2_probT
"5055",".7955236435","1.56892705","6.119412422","1",".7492334843","1.477594256","5.763334274",".77700001","6.875","31.125","0","1","0","0"
"5056",".7955236435","1.549204707","6.119412422","1",".5793892145","1.127750158","4.456840038",".602666676","6.875","31.375","0","0","0","1"
"5057",".7955236435","1.5308038","6.119412422","1",".6833182573","1.313890934","5.25629425",".7066666484","6.875","31.625","0","1","0","0"
"5058",".7955236435","1.513818383","6.119412422","1",".573567152","1.092885256","4.412055016",".5843333602","6.875","31.875","0","0","0","1"
"5059",".7955236435","1.498331428","6.119412422","1",".595465064","1.117396832","4.580500603",".6129999757","6.875","32.125","0","0","0","1"
"506","1.500258923","4.36086607","11.54045296","1",".7056919336","2.05173564","5.428399086",".9196666479","14.375","37.375","0","1","0","0"
"5060",".7955236435","1.488923311","6.119412422","1",".543148756","1.019134998","4.178067207",".5049999952","6.875","32.375","0","0","0","1"
"5061",".7955236435","1.38720417","6.119412422","1",".5578333139",".9737380743","4.291025162",".4846666753","6.875","33.625","0","0","0","1"
"5062",".7955236435","1.399336815","6.119412422","1",".5719454288","1.00623703","4.399580002",".4713333249","6.875","33.875","0","0","0","1"
"5063",".7955236435","1.398478985","6.119412422","1",".7672741413","1.347470284","5.902108669",".7220000029","6.875","34.125","0","1","0","0"
"5064",".7955236435","1.412491322","6.119412422","1",".8321619034","1.476335526","6.401245117",".7936666608","6.875","34.375","0","1","0","0"
"5065",".7955236435","1.48411715","6.119412422","1","1.37474823","2.565654278","10.57498646",".9763333201","6.875","35.375","0","1","0","0"
"5066","4.484897614","8.544251442","34.49921417","1","1.413925529","2.690457821","10.8763504",".9593333602","6.875","35.625","0","1","0","0"
"5067","4.484897614","8.681159019","34.49921417","1","1.30312252","2.517482996","10.02401924",".9430000186","6.875","35.875","0","1","0","0"
"5069","4.484897614","9.183170319","34.49921417","1",".9729180336","1.991790056","7.483984947",".9123333097","6.875","36.625","0","1","0","0"
"507","1.500258923","4.437421799","11.54045296","1",".6334534883","1.873697281","4.872718811",".8843333125","14.375","37.625","0","1","0","0"
"5070","4.484897614","9.415553093","34.49921417","1","1.289023161","2.70608902","9.915563583",".9686666727","6.875","36.875","0","1","0","0"
"5071","4.484897614","9.691322327","34.49921417","1","1.129920363","2.439749718","8.69169426",".9326666594","6.875","37.125","0","1","0","0"
"5072",".7955236435","1.774879694","6.119412422","1",".5522239208","1.232136965","4.247876167",".6816666722","6.875","37.375","0","0","0","1"
"5073","4.484897614","10.35065556","34.49921417","1",".7735403776","1.787324905","5.950310707",".8276666403","6.875","37.625","0","1","0","0"
"5074","-.0054683685","-.0130645121","-.0420643725","0",".72760427","1.739189863","5.596956253",".7846666574","6.875","37.875","0","0","1","0"
"5075","-.0054683685","-.0135225691","-.0420643725","0",".7119032145","1.757829905","5.476178169",".8180000186","6.875","38.125","0","0","1","0"
"5076","-.0054683685","-.0139852287","-.0420643725","0",".9055292606","2.316904545","6.96560955",".8870000243","6.875","38.375","0","0","1","0"
"5077","-.0054683685","-.0144407982","-.0420643725","0",".9143898487","2.407375336","7.0337677",".9363333583","6.875","38.625","0","0","1","0"
"5078","-.0054683685","-.0148775382","-.0420643725","0",".4254690409","1.160072327","3.272838831",".6706666946","6.875","38.875","1","0","0","0"
"5079","4.484897614","12.54582214","34.49921417","1",".3719387054","1.039567471","2.861066818",".6586666703","6.875","39.125","0","0","0","1"
"508","1.500258923","4.517026424","11.54045296","1",".5855630636","1.764185429","4.504331112",".852666676","14.375","37.875","0","1","0","0"
"5080","4.484897614","13.06681347","34.49921417","1","1.066264272","3.104024887","8.202033043",".9416666627","6.875","39.375","0","1","0","0"
"5081","-.0054683685","nan","-.0420643725","nan",".8652455807","nan","6.655735016","nan","6.875","40.125","0","0","0","0"
"5082","-.0054683685","nan","-.0420643725","nan",".8030711412","nan","6.177470207","nan","6.875","40.375","0","0","0","0"
"5083","-.0054683685","nan","-.0420643725","nan",".8090085983","nan","6.223143101","nan","6.875","40.625","0","0","0","0"
"5084","-.0054683685","nan","-.0420643725","nan",".8222415447","nan","6.324934959","nan","6.875","40.875","0","0","0","0"
"509","2.845918179","8.724396706","21.89167786","1",".7301580906","2.242230892","5.61660099",".9326666594","14.375","38.125","0","1","0","0"
"5090",".9677560329","nan","7.444277287","nan",".6991108656","nan","5.377776146","nan","6.625","-7.375","0","0","0","0"
"5091",".9677560329","nan","7.444277287","nan",".6704703569","nan","5.157464027","nan","6.625","-7.125","0","0","0","0"
"5092",".9677560329","nan","7.444277287","nan",".6735033989","nan","5.18079567","nan","6.625","-6.875","0","0","0","0"
"5093",".9677560329","nan","7.444277287","nan",".5992796421","nan","4.609843254","nan","6.625","-6.625","0","0","0","0"
"5094",".9677560329","nan","7.444277287","nan",".6382887363","nan","4.909913063","nan","6.625","-6.375","0","0","0","0"
"5095",".9677560329","nan","7.444277287","nan",".6174477339","nan","4.749598026","nan","6.625","-6.125","0","0","0","0"
"5096",".9677560329","nan","7.444277287","nan",".5827568769","nan","4.482745171","nan","6.625","-5.875","0","0","0","0"
"5097",".9677560329","nan","7.444277287","nan",".6266248226","nan","4.820190907","nan","6.625","-5.625","0","0","0","0"
"5098",".7955236435","nan","6.119412422","nan",".7398759127","nan","5.691353321","nan","6.625","-5.375","0","0","0","0"
"5099",".7955236435","nan","6.119412422","nan",".3547914028","nan","2.7291646","nan","6.625","-5.125","0","0","0","0"
"51","1.500258923","nan","11.54045296","nan",".1903822422","nan","1.464478731","nan","15.875","-14.125","0","0","0","0"
"510","2.845918179","8.883653641","21.89167786","1",".717315197","2.241389751","5.517808914",".8960000277","14.375","38.375","0","1","0","0"
"5100",".7955236435","nan","6.119412422","nan",".6332540512","nan","4.871185303","nan","6.625","-4.875","0","0","0","0"
"5101",".7955236435","nan","6.119412422","nan",".8704942465","nan","6.696109772","nan","6.625","-4.625","0","0","0","0"
"5102",".7955236435","nan","6.119412422","nan",".8868175745","nan","6.821673393","nan","6.625","-4.375","0","0","0","0"
"5103",".7955236435","nan","6.119412422","nan",".7509778738","nan","5.776752949","nan","6.625","-4.125","0","0","0","0"
"5104",".7955236435","nan","6.119412422","nan",".8272968531","nan","6.363821983","nan","6.625","-3.875","0","0","0","0"
"5105",".9677560329","nan","7.444277287","nan",".8586639166","nan","6.605107307","nan","6.625","-3.625","0","0","0","0"
"5106",".9677560329","nan","7.444277287","nan",".7864613533","nan","6.049702644","nan","6.625","-3.375","0","0","0","0"
"5107",".9677560329","nan","7.444277287","nan",".6332935095","nan","4.871488571","nan","6.625","-3.125","0","0","0","0"
"5108",".9677560329","nan","7.444277287","nan",".7740966082","nan","5.954589367","nan","6.625","-2.875","0","0","0","0"
"5109",".9677560329","nan","7.444277287","nan",".7876679897","nan","6.058984756","nan","6.625","-2.625","0","0","0","0"
"511","2.845918179","9.044382095","21.89167786","1",".6581660509","2.092270136","5.062815666",".8856666684","14.375","38.625","0","1","0","0"
"5110",".9677560329","nan","7.444277287","nan",".7811099291","nan","6.008537769","nan","6.625","-2.375","0","0","0","0"
"5111",".9677560329","nan","7.444277287","nan",".7051500082","nan","5.424230576","nan","6.625","-2.125","0","0","0","0"
"5112",".9677560329","6.742636204","7.444277287","1",".7323726416","5.100718498","5.633635521",".9643333554","6.625","-1.875","0","1","0","0"
"5113",".9677560329","6.8531394","7.444277287","1",".7168312073","5.077688217","5.514086246",".9593333602","6.625","-1.625","0","1","0","0"
"5114",".9677560329","6.839900017","7.444277287","1",".7855093479","5.55780077","6.042379379",".9686666727","6.625","-1.375","0","1","0","0"
"5115",".9677560329","6.765156269","7.444277287","1",".7806352377","5.458525658","6.004886627",".9649999738","6.625","-1.125","0","1","0","0"
"512","2.845918179","9.203689575","21.89167786","1",".5864874125","1.897023082","4.511441708",".8216666579","14.375","38.875","0","1","0","0"
"5121",".7955236435","4.894077301","6.119412422","1",".4997282028","3.071344614","3.844063044",".9333333373","6.625",".375","0","1","0","0"
"5122",".7955236435","4.721617222","6.119412422","1",".3311849833","1.966007471","2.547576904",".7996666431","6.625",".625","0","1","0","0"
"5123",".7955236435","4.546791077","6.119412422","1",".3437757492","1.962367296","2.64442873",".8069999814","6.625",".875","0","1","0","0"
"5124",".7955236435","4.34587574","6.119412422","1",".3168663979","1.732108116","2.43743372",".7576666474","6.625","1.125","0","1","0","0"
"5125",".7955236435","4.172516346","6.119412422","1",".297524333","1.567930102","2.288648605",".7636666894","6.625","1.375","0","1","0","0"
"5126",".7955236435","4.012282848","6.119412422","1",".3057414293","1.540816188","2.351857185",".7456666827","6.625","1.625","0","1","0","0"
"5127",".7955236435","3.884104967","6.119412422","1",".3296560049","1.604753375","2.535815477",".7866666913","6.625","1.875","0","1","0","0"
"5128",".7955236435","3.809187174","6.119412422","1",".2008606195",".9616165757","1.545081615",".6259999871","6.625","2.125","0","0","0","1"
"5129",".7955236435","3.789671421","6.119412422","1",".7029315233","3.348622799","5.407165527",".9716666937","6.625","2.375","0","1","0","0"
"513","2.845918179","9.434642792","21.89167786","1",".7443099022","2.467595816","5.725461006",".9423333406","14.375","39.125","0","1","0","0"
"5130",".7955236435","3.799603224","6.119412422","1",".0840826035",".400462836",".6467893124",".551666677","6.625","2.625","0","0","0","1"
