cellid,MostSensitive
2647,soilph
2648,soilph
2649,soilph
2650,soilph
2653,soilph
2654,soilph
2655,soilph
2656,soilph
2657,soilph
2658,soilph
2659,soilph
2660,soilph
2661,soilph
2662,soilph
2663,soilph
2664,soilph
2665,soilph
2666,soilph
2667,soilph
2668,soilph
2669,soilph
2670,soilph
2671,soilph
2672,soilph
2673,soilph
2674,soilph
2675,soilph
2676,soilph
2677,soilph
2678,soilph
2679,soilph
2680,soilph
2681,soilph
2682,up
2683,soilph
2684,soilph
2685,soilph
2686,up
2687,temp_p2
2688,bulkdens
2689,temp_p1
2690,soilph
2691,soilph
2692,soilph
2693,soilph
2694,soilph
2695,soilph
2696,soilph
2697,soilph
2698,soilph
2699,soilph
2700,soilph
2701,soilph
2702,soilph
2703,soilph
2704,soilph
2705,soilph
2706,soilph
2707,soilph
2708,soilph
2709,soilph
2710,bulkdens
2711,soilph
2712,soilph
2713,soilph
2714,soilph
2715,soilph
2716,soilph
2717,soilph
2718,soilph
2719,soilph
2720,soilph
2721,soilph
2722,soilph
2723,soilph
2724,soilph
2725,soilph
2726,soilph
2727,soilph
2728,soilph
2729,claypct
2730,up
2731,soilph
2732,soilph
2733,soilph
2734,soilph
2735,soilph
2736,soilph
2737,soilph
2738,soilph
2739,soilph
2740,soilph
2741,soilph
2742,soilph
2743,bulkdens
2744,bulkdens
2745,bulkdens
2746,bulkdens
2747,claypct
2748,claypct
2749,claypct
2750,claypct
2751,claypct
2752,claypct
2753,claypct
2754,claypct
2755,soilph
2756,soilph
2757,soilph
2758,soilph
2759,up
2760,up
2761,soilph
2762,up
2763,claypct
2764,claypct
2765,soilph
2766,up
2767,up
2768,soilph
2769,temp_p1
2770,bulkdens
2771,bulkdens
2772,claypct
2815,soilph
2816,soilph
2817,soilph
2818,soilph
2819,soilph
2820,soilph
2821,soilph
2822,soilph
2823,soilph
2824,soilph
2825,soilph
2826,soilph
2827,soilph
2828,soilph
2829,soilph
2830,soilph
2831,soilph
2832,soilph
2833,soilph
2834,soilph
2835,soilph
2836,soilph
2837,soilph
